country,month,min_temp,mean_temp,max_temp,precipitation,hours_of_sunshine
Algeria                       ,Apr,11.402564102564101,18.090243902439024,24.04324324324324,28.717021276595744,267.01875
Algeria                       ,Aug,22.536585365853654,29.893023255813944,36.844999999999985,9.006382978723405,315.3549999999999
Algeria                       ,Dec,5.5487179487179485,11.241463414634145,16.671052631578945,37.27021276595745,204.40909090909096
Algeria                       ,Feb,5.253846153846154,11.504761904761901,17.41538461538462,32.03617021276596,214.7391304347826
Algeria                       ,Jan,4.147619047619048,10.030232558139534,15.687500000000004,39.41063829787234,213.69600000000003
Algeria                       ,Jul,22.773170731707317,30.173809523809524,37.3325,3.5425531914893624,336.63333333333327
Algeria                       ,Jun,19.73846153846154,27.182926829268293,34.06315789473683,7.910638297872341,314.47222222222223
Algeria                       ,Mar,8.447368421052632,14.857142857142858,21.002702702702702,31.929787234042553,245.74210526315787
Algeria                       ,May,15.794871794871792,22.51666666666667,28.85000000000001,21.7063829787234,299.73333333333335
Algeria                       ,Nov,9.030000000000003,14.964285714285706,20.397297297297296,38.85531914893617,214.79000000000002
Algeria                       ,Oct,14.794871794871796,21.155,27.115789473684213,28.568085106382973,249.86315789473682
Algeria                       ,Sep,19.297560975609755,26.041860465116272,32.33500000000001,22.84468085106383,261.92105263157896
Antigua_and_Barbuda           ,Apr,23.6,26.3,29.4,66.9,
Antigua_and_Barbuda           ,Aug,25.6,28.3,31.1,100.2,
Antigua_and_Barbuda           ,Dec,23.4,26.0,28.8,80.7,
Antigua_and_Barbuda           ,Feb,22.5,25.3,28.3,39.2,
Antigua_and_Barbuda           ,Jan,22.6,25.4,28.2,54.8,
Antigua_and_Barbuda           ,Jul,25.4,28.1,30.8,80.9,
Antigua_and_Barbuda           ,Jun,25.3,27.9,30.6,63.3,
Antigua_and_Barbuda           ,Mar,22.9,25.6,28.7,37.7,
Antigua_and_Barbuda           ,May,24.5,27.1,30.1,89.6,
Antigua_and_Barbuda           ,Nov,24.1,26.9,29.8,134.6,
Antigua_and_Barbuda           ,Oct,24.6,27.9,30.6,128.3,
Antigua_and_Barbuda           ,Sep,25.2,28.1,31.1,125.5,
Argentina                     ,Apr,9.607999999999997,14.795238095238096,21.025242718446606,80.66907216494847,173.04588235294116
Argentina                     ,Aug,3.863,9.765048543689323,16.607766990291267,34.06210526315789,179.28720930232564
Argentina                     ,Dec,14.301000000000002,20.675238095238097,27.191262135922333,97.73404255319149,257.0919540229885
Argentina                     ,Feb,14.682653061224496,20.432038834951452,26.824509803921575,97.19894736842103,219.9376470588235
Argentina                     ,Jan,15.470707070707071,21.58543689320389,28.06796116504855,103.03052631578939,261.60232558139546
Argentina                     ,Jul,2.331683168316832,7.649019607843138,13.934951456310685,32.340860215053766,153.29764705882346
Argentina                     ,Jun,3.5379999999999994,8.477142857142857,14.500980392156857,38.47628865979382,131.92298850574718
Argentina                     ,Mar,13.007999999999996,18.46285714285715,24.806796116504863,95.44000000000001,208.30119047619047
Argentina                     ,May,6.405940594059406,11.256190476190481,17.201923076923077,51.39278350515466,150.41839080459778
Argentina                     ,Nov,12.011999999999999,18.345714285714283,24.823300970873788,86.70105263157895,243.69999999999996
Argentina                     ,Oct,9.438999999999998,15.563809523809523,21.957281553398058,80.08020833333333,213.2058823529412
Argentina                     ,Sep,6.162000000000001,12.319999999999995,19.052427184466012,45.32604166666667,183.03448275862067
Australia                     ,Apr,12.788382687927117,18.757403189066064,24.72642369020498,47.532798165137635,197.56666666666672
Australia                     ,Aug,7.0628701594533005,13.110706150341695,19.158086560364474,47.115366972477105,201.45416666666668
Australia                     ,Dec,16.360045662100447,22.707305936073052,29.071526195899796,67.24220183486243,264.10833333333335
Australia                     ,Feb,17.740091116173115,23.75558086560366,29.766514806378115,85.73577981651378,223.8083333333333
Australia                     ,Jan,17.928701594533038,24.206378132118452,30.47744874715263,79.8683486238532,263.87500000000006
Australia                     ,Jul,6.591799544419133,12.166514806378132,17.7375854214123,50.089449541284395,167.38333333333335
Australia                     ,Jun,7.575626423690209,12.894077448747156,18.208200455580865,56.765596330275194,148.8708333333333
Australia                     ,Mar,15.845330296127571,21.835307517084274,27.823006833713006,70.3963302752293,222.07083333333333
Australia                     ,May,9.706833712984057,15.368109339407745,21.024373576309788,49.16788990825686,172.40833333333333
Australia                     ,Nov,14.46127562642368,20.848519362186792,27.234624145785894,52.98256880733945,253.66250000000005
Australia                     ,Oct,11.88587699316628,18.3496583143508,24.814578587699305,43.92247706422018,249.72916666666663
Australia                     ,Sep,9.352391799544419,15.659453302961275,21.97243735763098,42.47522935779815,215.74583333333337
Austria                       ,Apr,1.8444444444444446,6.577777777777778,11.344444444444445,79.475,180.06
Austria                       ,Aug,11.244444444444442,16.322222222222223,20.311111111111114,140.78749999999997,221.76
Austria                       ,Dec,-4.388888888888888,-1.677777777777778,1.177777777777778,82.63749999999999,95.28
Austria                       ,Feb,-5.511111111111111,-1.411111111111111,2.555555555555556,62.300000000000004,128.98
Austria                       ,Jan,-5.5,-2.511111111111111,0.6555555555555556,69.66250000000001,110.60000000000002
Austria                       ,Jul,11.255555555555556,16.45555555555556,20.622222222222224,139.5375,226.04000000000005
Austria                       ,Jun,9.944444444444445,14.688888888888888,19.366666666666664,127.25,207.7
Austria                       ,Mar,-1.9333333333333331,2.3333333333333335,6.444444444444445,82.575,165.95999999999998
Austria                       ,May,6.044444444444443,11.022222222222222,15.211111111111112,112.18750000000001,201.58
Austria                       ,Nov,-0.5333333333333331,2.5111111111111115,5.58888888888889,91.97500000000001,94.88
