listing_id,listing_name,country,city,listing_type,room_type,currency,guests,bedrooms,cancellation_policy,rating_overall,ttm_revenue,ttm_avg_rate
28998181,Single Pod (Front Entry) Male Shared Room,singapore,singapore,Shared room in boutique hotel,shared_room,SGD,,,Moderate,4.29,694.0,58.6
29552115,Chinatown Skylight Single,singapore,singapore,Room in aparthotel,entire_home,SGD,1.0,,Strict,4.92,33607.0,129.7
29552643,Chinatown Skylight Studio,singapore,singapore,Room in aparthotel,entire_home,SGD,2.0,,Strict,4.83,31700.0,141.9
29554536,1-Bedroom Deluxe Suite,singapore,singapore,Entire serviced apartment,entire_home,SGD,2.0,1.0,Strict,4.75,12499.0,434.7
29579499,Chinatown Studio Premium,singapore,singapore,Room in aparthotel,entire_home,SGD,2.0,,Strict,4.83,41565.0,154.9
29580481,Chinatown Skylight Loft,singapore,singapore,Room in aparthotel,entire_home,SGD,2.0,,Strict,4.92,34696.0,162.8
29581373,Chinatown Premium Loft,singapore,singapore,Room in aparthotel,entire_home,SGD,2.0,,Strict,4.84,30457.0,186.6
30385453,Chinatown (1 Queen Bed) Family Boutique Hotel,singapore,singapore,Room in boutique hotel,hotel_room,SGD,2.0,1.0,Strict,4.6,9149.0,208.2
30453430,HighFloor More Space! Living rm + bedroom (3mths+),singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,,556.0,47.7
30783602,Lavender SingleBed *rmA: 5m walk MRT,singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,,382.0,32.1
31002918,Queen Pod in a Shared Room on a Ladies-Only Floor,singapore,singapore,Shared room in boutique hotel,shared_room,SGD,,,Moderate,4.5,3528.0,99.7
31003554,Cozy Studio Byte Apt with WiFi in Kallang,singapore,singapore,Entire serviced apartment,entire_home,SGD,2.0,1.0,Firm,4.86,34633.0,132.3
31424549,Chinatown Studio Premium no windows,singapore,singapore,Room in aparthotel,entire_home,SGD,2.0,,Strict,4.57,7779.0,165.2
31424940,Pagoda Studio,singapore,singapore,Room in aparthotel,entire_home,SGD,2.0,,Strict,4.75,4294.0,152.0
32303894,prewar singlebed RmA > lavender MRT,singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,,369.0,31.3
32488562,Balcony +Washbasin rm2* @ tiong bahru heritage,singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,4.75,500.0,38.9
32576311,Comfortable Double Room @NUS NUH -No Window(206),singapore,singapore,Private room in guesthouse,private_room,SGD,2.0,1.0,Strict,,2633.0,97.1
32621960,CBD 2-bedroom with Kitchenette | Bras Basah MRT,singapore,singapore,Entire serviced apartment,entire_home,SGD,4.0,2.0,Strict,,8020.0,482.1
32623479,2-Bedroom Apartment in CBD near City Hall MRT,singapore,singapore,Entire serviced apartment,entire_home,SGD,4.0,2.0,Strict,4.92,32558.0,474.3
32729464,kAweSome Ensuite 1+1 @ CBD/Chinatown NoWin Cal,singapore,singapore,Private room in rental unit,private_room,SGD,1.0,1.0,Strict,,565.0,48.3
32846195,COzy Studio Solo only @ Tiong Bahru (walk to SGH),singapore,singapore,Entire rental unit,entire_home,SGD,1.0,,Strict,4.83,1389.0,101.0
33098686,Tiong bahru Heritage Balcony window *Rm1 near SGH,singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,5.0,542.0,40.6
33792104,Downtown View Ensuite+livingRm (Not For Tourist),singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,,643.0,54.8
33885738,Chinatown@doorstep: Queenbed Rm 891* (Not Tourist),singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,,410.0,36.6
33888989,"Spacious apartment near subway , downtown, Orchard",singapore,singapore,Entire serviced apartment,entire_home,SGD,5.0,1.0,Strict,4.65,17989.0,247.5
33982757,[Chinatown] Deluxe Triple-2mins away from MRT,singapore,singapore,Room in boutique hotel,hotel_room,SGD,3.0,1.0,Strict,4.43,27006.0,248.2
33999107,BalconyC Washbasin rm2 @ tiong bahru (walk to SGH),singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,4.4,581.0,42.1
34071596,[Chinatown] Superior Double-2mins away from MRT,singapore,singapore,Room in boutique hotel,hotel_room,SGD,2.0,1.0,Strict,4.3,14044.0,185.9
34071837,[Chinatown] Double without Window 2min away MRT,singapore,singapore,Room in boutique hotel,hotel_room,SGD,2.0,1.0,Strict,4.35,17495.0,178.6
34072244,[Chinatown] Single Room-2mins away from MRT,singapore,singapore,Room in boutique hotel,hotel_room,SGD,1.0,1.0,Moderate,4.48,18596.0,166.3
34073545,[Chinatown] Family Room-2mins away from MRT,singapore,singapore,Room in boutique hotel,hotel_room,SGD,4.0,1.0,Strict,4.17,8930.0,496.3
34654117,1960s singlebed *RmAn @ lavender bugis,singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,,386.0,32.5
35026116,Chinatown your doorstep: Queenbed Rm (Non-Tourist),singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,,389.0,33.9
35181133,"23hr selfcheckin LoftBed RmA*, 5min city center",singapore,singapore,Private room in rental unit,private_room,SGD,,,Strict,,393.0,33.3
35723337,"Master bedroom, Close to NUS, Resort Style Condo",singapore,singapore,Private room in condo,private_room,SGD,,,Firm,4.33,779.0,60.5
