listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
32576311,Comfortable Double Room @NUS NUH -No Window(206),Private room in guesthouse,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-32576311/original/89a1ddce-3931-4e76-a356-84fc93cecb12.jpeg,12,18618387,Kaytwo,"","",false,1.2813,103.7876,2,1,2,1.0,false,"Wifi,Air conditioning,Crib,Free parking on premises,Hot water kettle,Paid parking off premises,Hot water,Body soap,Breakfast,Bed linens,Free street parking,Microwave,Refrigerator,Dishes and silverware,Coffee,Washer,Dryer,Smoke alarm,BBQ grill,Shower gel,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Lock on bedroom door,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Bathtub",true,,1,Strict,SGD,46,0,1,,,,,,,,2633.0,3397.0,97.1,128.2,0.077,0.0,7.2,9.3,0.0,0.0,28,0,337,365,1790.0,2310.0,94.0,121.3,0.211,0.0,19.9,25.7,0.0,0.0,19,0,71,90
32621960,CBD 2-bedroom with Kitchenette | Bras Basah MRT,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-32621960/original/9e40c7e5-6d5a-4e4c-9389-4fa12cb4a58e.jpeg,33,148161755,Jan,"","",true,1.2976,103.8535,4,2,2,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Crib,Kitchen,Hot water,Gym,Breakfast,Elevator,Bed linens,Extra pillows and blankets,Ethernet connection,Hot tub,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Paid parking on premises,Stove,Washer,Dryer,Single level home,Smoke alarm,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",false,,92,Strict,SGD,0,0,2,,,,,,,,8020.0,10349.0,482.1,637.2,0.049,0.0,22.0,28.4,0.0,0.0,18,0,347,365,3930.0,5071.0,442.2,570.7,0.1,0.0,43.7,56.3,0.0,0.0,9,0,81,90
32623479,2-Bedroom Apartment in CBD near City Hall MRT,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-32623479/original/98b40471-0cbe-45fc-8aa9-b5f478491d0c.jpeg,38,148161755,Jan,"","",true,1.2990,103.8515,4,2,2,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Crib,Kitchen,Pack ’n play/Travel crib,Children’s dinnerware,Hot water,Gym,Breakfast,Elevator,Bed linens,Extra pillows and blankets,Ethernet connection,Hot tub,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Paid parking on premises,Stove,Washer,Dryer,Single level home,Smoke alarm,Exercise equipment,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",false,,6,Strict,SGD,0,0,12,4.92,5.0,5.0,4.9,4.9,5.0,4.8,32558.0,43180.0,474.3,625.5,0.186,0.201,89.2,118.3,96.0,127.4,68,26,297,365,13717.0,17701.0,520.6,671.8,0.289,0.0,152.4,196.7,0.0,0.0,26,0,64,90
32729464,kAweSome Ensuite 1+1 @ CBD/Chinatown NoWin Cal,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/ff47dd90-3968-475b-9431-a6054e9cabf5.jpg,59,2413412,Kaurus,"","",false,1.2830,103.8416,1,1,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Private entrance",true,,92,Strict,SGD,15,0,1,,,,,,,,565.0,731.0,48.3,63.8,0.033,0.0,1.5,2.0,0.0,0.0,12,0,353,365,0.0,0.0,46.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
32846195,COzy Studio Solo only @ Tiong Bahru (walk to SGH),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/43006ba9-e8c4-4d5e-ad39-387f2980aa5b.jpg,76,2413412,Kaurus,"","",false,1.2844,103.8342,1,,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Single level home,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Private entrance",true,,92,Strict,SGD,23,0,6,4.83,5.0,5.0,4.5,4.8,5.0,5.0,1389.0,1857.0,101.0,133.3,0.038,0.0,3.8,5.1,0.0,0.0,14,0,351,365,0.0,0.0,100.6,129.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
33098686,Tiong bahru Heritage Balcony window *Rm1 near SGH,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/327bd16f-bda0-4ac4-bbcf-6b403a1fcbdd.jpg,66,201775246,Hillary,"","",false,1.2841,103.8342,,,1,0.0,false,"Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Single level home,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Iron,Private entrance",true,,92,Strict,SGD,11,0,4,5.0,5.0,5.0,4.8,5.0,5.0,4.8,542.0,727.0,40.6,53.6,0.036,0.04,1.5,2.0,1.7,2.3,13,43,352,365,0.0,0.0,39.2,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0,29,90,90
33792104,Downtown View Ensuite+livingRm (Not For Tourist),Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/def1cf89-6a04-4ae7-bfc2-94060f0a3cf3.jpg,58,97878860,Chess,"","",false,1.2841,103.8425,,,1,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Heating,Cooking basics,Paid parking on premises,Stove,Washer,Dryer,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Private entrance",true,,92,Strict,SGD,15,0,1,,,,,,,,643.0,829.0,54.8,72.3,0.033,0.0,1.8,2.3,0.0,0.0,12,0,353,365,0.0,0.0,53.2,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
33885738,Chinatown@doorstep: Queenbed Rm 891* (Not Tourist),Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/cb0e81fd-771d-42d9-8326-d37b9461c95a.jpg,48,2413412,Kaurus,"","",false,1.2841,103.8425,,,1,0.0,false,"Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Iron,Private entrance",true,,92,Strict,SGD,0,0,1,,,,,,,,410.0,530.0,36.6,48.5,0.033,0.0,1.1,1.5,0.0,0.0,12,0,353,365,0.0,0.0,33.2,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
33888989,"Spacious apartment near subway , downtown, Orchard",Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-33888989/original/f3242bc5-3b3a-4904-96ff-3d7c618bbd07.jpeg,16,7210103,Thanksgivings,"","",false,1.2954,103.8418,5,1,3,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Gym,Elevator,Cleaning products,Drying rack for clothing,Clothing storage,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Rice maker,High chair,Children’s books and toys,Crib,Pack ’n play/Travel crib,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,EV charger,Exercise equipment,Shower gel,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Children's playroom,Dining table",true,,6,Strict,SGD,0,0,136,4.65,4.7,4.9,4.7,4.7,4.8,4.5,17989.0,23683.0,247.5,326.9,0.195,0.0,49.3,64.9,0.0,0.0,71,0,294,365,5330.0,6878.0,243.6,314.3,0.233,0.0,59.2,76.4,0.0,0.0,21,0,69,90
33982757,[Chinatown] Deluxe Triple-2mins away from MRT,Room in boutique hotel,hotel_room,https://a0.muscache.com/im/pictures/miso/Hosting-33982757/original/fa824efd-2f5b-406a-8f3a-ef13d0d94d91.jpeg?aki_policy=medium,38,256587033,,"","",false,1.2820,103.8429,3,1,2,1.0,,"Elevator,Kitchen,Cable TV,Wifi,Heating,Hair dryer,Shampoo,Dryer,TV,Air conditioning,Essentials,Washer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Hot water",,,1,Strict,SGD,0,0,58,4.43,4.7,4.7,4.5,4.7,4.9,4.2,27006.0,36037.0,248.2,329.4,0.268,0.295,74.0,98.7,81.3,108.5,98,33,267,365,0.0,0.0,124.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
