listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
28404213,"Condotel w/balcony  Pasay Manila, MOA Airport PICC",Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mjg0MDQyMTM=/original/da83db00-e70d-41f9-ad1e-b2fe87c214f2.jpeg,46,76769477,Delce,198740526,Sunny,true,14.5418,120.9849,4,1,3,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Portable fans,Resort access,Mini fridge,Elevator,Laundromat nearby,Outdoor furniture,Cleaning products,Clothing storage,Washer,Dryer,Smoke alarm,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Rice maker,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,Single level home,Shower gel,Patio or balcony,Long term stays allowed,Cleaning before checkout,Dining table,Outdoor playground",true,false,1,Flexible,PHP,5,0,129,4.87,4.9,4.9,4.8,4.9,4.9,4.8,3045.0,172986.0,43.3,2464.3,0.192,0.197,8.3,473.9,8.6,485.9,70,9,295,365,579.0,32291.0,45.6,2545.6,0.144,0.16,6.4,358.8,7.1,398.7,13,9,77,90
28469716,Cozy Home When in Manila Across NAIA Terminal 3,Entire condo,entire_home,https://a0.muscache.com/im/pictures/24a14803-0f9b-4c5e-8741-18bd46ef10e5.jpg,13,27510614,Kristal,"","",false,14.5221,121.0144,3,,2,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Hot water,Body soap,Elevator,Bed linens,Outdoor furniture,Microwave,Refrigerator,Dishes and silverware,Stove,Single level home,Smoke alarm,Exercise equipment,Patio or balcony,Fire extinguisher,Bidet,Essentials,Shampoo,Dining table,Outdoor dining area,Freezer,Private entrance,Rice maker",false,false,1,Flexible,PHP,5,0,376,4.76,4.8,4.8,4.8,4.7,4.9,4.8,3466.0,199773.0,35.2,2004.1,0.282,0.412,9.5,547.3,13.9,799.1,103,115,262,365,0.0,0.0,38.2,2130.8,0.0,0.0,0.0,0.0,0.0,0.0,0,81,90,90
28537650,"My Humble Place (Shore) Location, MOA, Pasay City",Entire condo,entire_home,https://a0.muscache.com/im/pictures/5ac5d8c9-5fd7-4dcc-92cb-32c09edbdd55.jpg,57,79714428,Somporn,"","",true,14.5381,120.9831,4,1,2,1.5,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water,Body soap,Resort access,Elevator,Bed linens,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Smoke alarm,Patio or balcony,First aid kit,Fire extinguisher,Bidet,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers",false,false,2,Flexible,PHP,0,0,165,4.84,4.8,4.9,4.8,4.9,4.9,4.9,894.0,50989.0,36.9,2104.3,0.066,0.0,2.4,139.7,0.0,0.0,24,0,341,365,150.0,8365.0,35.6,1986.6,0.044,0.0,1.7,92.9,0.0,0.0,4,0,86,90
28616820,37sqm 1 BR with nexflix near MOA Airport LRT Pasay,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-28616820/original/83776779-5d56-449b-a883-95c6ec7e7936.jpeg,38,2460214,Joizlyn,"397053201,544208660","Joiza,Madee",false,14.5575,120.9958,6,1,4,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Smoking allowed,Pets allowed,Hot water,Gym,Elevator,Heating,Paid parking on premises,Washer,Dryer,Smoke alarm,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",false,false,1,Firm,PHP,0,0,87,4.45,4.5,4.6,4.4,4.6,4.6,4.5,4207.0,240281.0,48.7,2778.0,0.244,0.0,11.5,658.3,0.0,0.0,89,0,276,365,922.0,51423.0,49.2,2745.2,0.211,0.0,10.2,571.4,0.0,0.0,19,0,71,90
28831795,UrbanRetreat@Shell Residences – Netflix + 300 Mbps Wi-Fi,Entire condo,entire_home,https://a0.muscache.com/im/pictures/3bfac6b7-f391-47e4-9512-9d4990578c42.jpg,116,217414036,Vj,"","",false,14.5363,120.9860,4,1,3,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Portable fans,Ceiling fan,Hot water,Conditioner,Outdoor shower,Elevator,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage,Stove,Smoke alarm,Shower gel,Carbon monoxide alarm,First aid kit,Bidet,Essentials,Long term stays allowed,Safe,Shampoo,Hangers,Dining table,Outdoor playground,Hair dryer,Iron,Private entrance,Rice maker",false,,3,Flexible,PHP,0,0,48,4.83,4.8,4.9,4.7,4.9,4.9,4.8,2692.0,154604.0,42.0,2391.4,0.178,0.0,7.4,423.6,0.0,0.0,65,0,300,365,124.0,6916.0,43.4,2418.0,0.033,0.0,1.4,76.8,0.0,0.0,3,0,87,90
28869754,Chillax7 101 Newport City Pasay Manila Airport,Entire condo,entire_home,https://a0.muscache.com/im/pictures/eff55244-1ffa-4517-bb40-8b023f4bedfd.jpg,69,217663670,Delia,102596286,Mara,true,14.5236,121.0132,3,,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Hot water,Body soap,Elevator,Bed linens,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Smoke alarm,Shower gel,Carbon monoxide alarm,Backyard,Fire extinguisher,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",false,false,1,Flexible,PHP,0,0,303,4.91,4.9,4.9,4.9,4.9,5.0,4.9,4505.0,258280.0,35.2,2000.4,0.359,0.403,12.3,707.6,13.9,794.7,131,40,234,365,926.0,51636.0,37.6,2098.0,0.278,0.0,10.3,573.7,0.0,0.0,25,0,65,90
28919450,"Affordable condo across airport, w/ fast wifi.",Entire condo,entire_home,https://a0.muscache.com/im/pictures/9d0598c0-e93d-43d8-9fb6-9c2397618886.jpg,10,215942918,Cyndee & April,"","",true,14.5206,121.0153,4,,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water kettle,Paid parking off premises,Portable fans,Hot water,Gym,Body soap,Mini fridge,Elevator,Bed linens,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Heating,Paid parking on premises,Clothing storage,Stove,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Private entrance,Rice maker",false,false,1,Moderate,PHP,6,0,234,4.62,4.7,4.8,4.5,4.7,4.9,4.6,1318.0,75017.0,33.5,1905.0,0.107,0.0,3.6,205.5,0.0,0.0,39,0,326,365,349.0,19464.0,36.9,2057.2,0.1,0.0,3.9,216.3,0.0,0.0,9,0,81,90
29063957,Milnat Place at SMDC Breeze Unit 3005,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-29063957/original/0f7285c8-7d40-4684-ae5a-8f36977106b0.jpeg,30,105014330,Mary Jane,"","",false,14.5557,120.9899,3,1,3,1.0,false,"Stove,TV,Cable TV,Smoke alarm,Wifi,Patio or balcony,Air conditioning,Bidet,Kitchen,Long term stays allowed,Hangers,Dining table,Hot water,Iron,Freezer,Elevator,Bed linens,Microwave,Refrigerator,Rice maker,Dishes and silverware,Cooking basics,Paid parking on premises",true,,2,Moderate,PHP,0,0,78,4.92,4.8,4.9,4.7,4.9,4.9,4.9,2247.0,129597.0,36.3,2065.7,0.181,0.214,6.2,355.1,7.3,420.8,66,57,299,365,124.0,6915.0,41.0,2287.1,0.033,0.0,1.4,76.8,0.0,0.0,3,0,87,90
29143460,"SMDC Condo- Roxas Blvd,near Airport, MOA,CCP,PICC",Entire condo,entire_home,https://a0.muscache.com/im/pictures/4d11acbb-4b04-4242-9466-4dc13b70d703.jpg,26,180477107,Eric,82479264,Joy,true,14.5544,120.9905,4,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water,Elevator,Bed linens,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage,Stove,Washer,Smoke alarm,Patio or balcony,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",true,false,2,Flexible,PHP,0,0,224,4.86,4.9,4.9,4.8,4.9,4.8,4.9,6055.0,345261.0,26.7,1520.2,0.63,0.65,16.6,945.9,17.1,975.3,230,11,135,365,1223.0,68213.0,28.8,1606.2,0.478,0.0,13.6,757.9,0.0,0.0,43,0,47,90
29253114,Private Gem w/ Netflix at Shore Residences Pasay,Entire condo,entire_home,https://a0.muscache.com/im/pictures/a49d411c-1a71-4e51-8597-4835e8856e2d.jpg,66,220389432,Marlyn,"","",true,14.5422,120.9855,4,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Resort access,Elevator,Laundromat nearby,Drying rack for clothing,Paid parking on premises,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Rice maker,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Stove,Backyard,Long term stays allowed,Cleaning before checkout,Dining table,Outdoor playground",false,,2,Firm,PHP,1,0,188,4.89,4.9,4.9,4.8,5.0,4.9,4.9,4459.0,255370.0,34.1,1940.9,0.364,0.0,12.2,699.6,0.0,0.0,133,0,232,365,985.0,54932.0,37.9,2116.1,0.289,0.0,10.9,610.4,0.0,0.0,26,0,64,90
